lon,lat,alt,rel_alt,heading,time
55.4718207,10.3250211,15.731,0.074,319.0,1669364667.3658378
55.4718207,10.3250211,15.731,0.074,319.0,1669364668.365862
55.4718207,10.3250211,15.731,0.074,319.0,1669364669.3658705
55.4718207,10.3250211,15.731,0.074,319.0,1669364670.3658128
55.4718207,10.3250211,15.731,0.074,319.0,1669364671.365803
55.4718207,10.3250211,15.731,0.074,319.0,1669364672.3658164
55.4718207,10.3250211,15.731,0.074,319.0,1669364673.3658164
55.4718207,10.3250211,15.731,0.074,319.0,1669364674.3658564
55.4718207,10.3250211,15.731,0.074,319.0,1669364675.3658483
55.4718207,10.3250211,15.731,0.074,319.0,1669364676.3658412
55.4718207,10.3250211,15.731,0.074,319.0,1669364677.3658347
55.4718207,10.3250211,15.731,0.074,319.0,1669364678.365859
55.4718207,10.3250211,15.731,0.074,319.0,1669364679.3658264
55.4718207,10.3250211,15.731,0.074,319.0,1669364680.3658528
55.4718207,10.3250211,15.731,0.074,319.0,1669364681.3656995
55.4718207,10.3250211,15.731,0.074,319.0,1669364682.3657162
55.4718207,10.3250211,15.731,0.074,319.0,1669364683.3658366
55.4718207,10.3250211,15.731,0.074,319.0,1669364684.3657832
55.4718207,10.3250211,15.731,0.074,319.0,1669364685.365778
55.4718207,10.3250211,15.731,0.074,319.0,1669364686.3654418
55.4718207,10.3250211,15.731,0.074,319.0,1669364687.3658144
55.4718207,10.3250211,15.731,0.074,319.0,1669364688.3657515
55.4718207,10.3250211,15.731,0.074,319.0,1669364689.3658373
55.4718207,10.3250211,15.731,0.074,319.0,1669364690.3657658
55.4718207,10.3250211,15.731,0.074,319.0,1669364691.3657897
55.4718207,10.3250211,15.731,0.074,319.0,1669364692.365667
55.4718207,10.3250211,15.731,0.074,319.0,1669364693.3657398
55.4718207,10.3250211,15.731,0.074,319.0,1669364694.3657405
55.4718207,10.3250211,15.731,0.074,319.0,1669364695.3658612
